timestamp,cookie_id,product_id,gender,dept,price,age
1763303606,7048447933,1,m,88,354,65
1763341126,9138057668,8,f,55,165,37
1763398855,1327443078,3,f,15,29,28
1763455517,1083555113,3,f,7,29,23
1763543415,665955021,6,f,95,34,25
1763659260,7891555914,5,f,30,89,28
1763730651,665955022,1,f,50,354,63
1763821115,8822830109,5,f,68,89,42
1763868923,7622413391,4,m,4,299,64
1763878374,9314922124,3,f,35,29,31
1763960997,6990083782,5,f,44,89,35
1764000281,3755043429,1,f,6,354,68
1764010822,668261108,8,f,26,165,36
1764042493,5100076117,7,f,82,109,56
1764085554,6938111778,4,m,83,299,57
1764106689,6358522010,4,m,82,299,56
1764125474,4738576349,5,f,7,89,43
1764155038,7828995097,2,f,60,67,30
1764175425,9722372272,7,m,52,109,35
1764223446,195874745,2,m,31,67,27
1764228474,2693232025,4,f,272,299,56
1764250104,838785304,2,f,55,67,33
1764303883,2843667778,5,m,86,89,21
1764334430,4241328667,4,m,51,299,58
1764368299,6116808623,6,m,63,34,26
1764370026,9084327977,2,m,24,67,30
1764370287,4426611403,4,m,44,299,59
1764375578,5820670940,8,f,58,165,34
1764385638,8300306275,4,f,54,299,62
1764388072,3670039263,7,f,11,109,38
1764393007,2019146982,5,f,81,89,27
1764445600,500087972,4,m,2,299,59
1764456147,3745071281,4,m,95,299,54
1764490210,8844623505,4,f,87,299,57
1764502787,684979670,8,f,37,165,35
1764512332,3221826453,7,f,16,109,38
1764534196,8751879875,1,f,62,354,68
1764544088,675653663,5,f,2B,89,39
1764551728,9554597531,5,f,60,89,37
1764569279,2506877680,4,m,82,299,58
1764579976,4115733095,3,m,3,29,27
1764601139,1698189963,4,m,59,299,59
1764615710,5031077513,8,f,273,165,67
1764647947,3884720512,2,f,2,67,30
1764681858,7137303126,2,f,18,67,31
1764683302,4584861653,1,f,71,354,63
1764720554,3179544440,1,f,12,354,69
1764752490,3771687467,2,f,69,67,26
1764797980,7928559147,1,f,276,354,66
1764799578,9226991977,6,f,275,34,28
1764810614,7292233254,8,m,82,165,27
1764819758,9156827594,1,m,74,354,61
1764820755,8611464785,4,m,32,299,61
1764843970,402555335,2,f,90,67,23
1764848316,2442516852,3,f,78,29,23
1764906646,7577689744,5,f,274,89,28
1764936044,3649468356,3,m,28,29,30
1764967193,5842516090,8,f,54,165,43
1764967882,3377278673,3,f,89,29,27
1764976420,6622160581,4,m,73,299,58
1764988639,1913781266,3,f,70,29,27
1765029990,9633409475,4,m,37,299,52
1765048852,8757103911,8,f,63,165,34
1765055316,5210314403,6,f,35,34,29
1765080805,7548487298,1,f,34,354,63
1765091739,5803944898,3,m,79,29,20
1765096830,7892965075,2,m,34,67,36
1765169476,667302723,5,f,65,89,27
1765180337,3765992413,6,f,88,34,29
1765180793,1646320442,3,m,36,29,29
1765181135,1834514191,2,m,92,67,35
1765182904,6577416984,7,f,276,109,31
1765191910,9336125422,8,f,94,165,61
1765198518,9691742612,2,f,77,67,30
1765200189,7173081215,4,m,272,299,56
1765214065,5172958892,8,f,11,165,44
1765215753,307529498,2,f,276,67,28
1765222581,4594407802,3,f,55,29,28
1765245602,1798018585,4,f,2B,299,62
1765276299,726583338,6,m,73,34,24
1765299613,766080179,1,f,274,354,62
1765307182,6978320773,5,f,24,89,37
1765359821,2894430301,5,m,50,89,37
1765364172,2274956205,7,f,95,109,23
1765380857,8207135646,4,m,40,299,62
1765436070,3776077338,7,m,93,109,47
1765458828,6608214215,7,m,45,109,30
1765478503,9432221904,8,m,91,165,36
1765505816,2650149306,4,f,92,299,54
1765546963,9177281149,2,m,8,67,25
1765570929,7297737488,3,m,92,29,21
1765599140,9354729192,5,m,62,89,32
1765643494,8700564173,7,m,2B,109,21
1765656158,2941040139,2,m,67,67,25
1765670444,160561211,6,m,84,34,25
1765697599,2740884452,8,f,89,165,37
1765705669,2614854739,5,f,27,89,25
1765718724,8762117854,8,m,63,165,31
1765723973,879158940,5,f,82,89,22
1765724293,7331215946,8,m,25,165,21
1765725557,714565764,5,f,62,89,21
1765735542,9466843371,6,f,1,34,28
1765753532,9353335552,8,f,5,165,20
1765767833,5630066803,7,f,82,109,36
1765810398,6055410297,7,f,87,109,38
1765821616,7658809930,1,m,13,354,62
1765821721,9519403978,1,m,79,354,59
1765825641,4697242675,3,f,51,29,25
1765846517,8798267242,2,f,33,67,29
1765846961,2693255933,7,f,60,109,23
1765849393,5659984092,1,f,8,354,63
1765877244,752233164,3,f,87,29,22
1765898746,4493292524,2,f,79,67,28
1765907608,3226566194,4,m,70,299,65
1765912864,9224037828,5,m,38,89,30
1765926806,9460758893,5,m,2A,89,44
1765947011,3377034654,2,m,18,67,31
1765985917,2871982090,3,m,55,29,25
1765996062,4953748303,8,m,275,165,63
1765997354,7534878963,5,f,49,89,26
1766070716,5166507128,4,f,59,299,54
1766138349,1653422210,3,f,43,29,25
1766185141,1952838737,2,f,60,67,30
1766245026,2885904311,3,f,34,29,22
1766272353,159174598,8,f,58,165,38
1766293096,5498834045,3,f,85,29,28
1766293477,4651306224,4,f,273,299,57
1766293481,7847011932,6,f,51,34,21
1766360714,368906485,2,m,43,67,26
1766398316,1136455488,4,f,33,299,60
1766432657,2883206700,5,f,86,89,36
1766442526,2877464022,1,f,94,354,63
1766444661,6833332736,5,f,2B,89,37
1766453211,4095749553,5,f,95,89,45
1766489249,15764679,2,m,81,67,30
1766515963,67211265,3,m,9,29,27
1766531026,6200686769,3,f,53,29,21
1766638894,7847011933,3,f,19,29,19
1766662814,7896338445,8,m,81,165,47
1766690086,2066294216,5,f,80,89,45
